feature,importance_gain,importance_split
Master_fechaalta_lag_1,1186.8508443832397,79
Visa_Fvencimiento_lag_1,1185.4007272720337,100
cdescubierto_preacordado_delta_1,1170.5997624397278,24
slope_mcomisiones_mantenimiento_2_window,1168.4639325141907,69
mcomisiones_otras_delta_2,1168.1026484966278,69
slope_Master_Fvencimiento_2_window,1167.6528072357178,80
mcomisiones_otras_lag_1_1,1165.7746796607971,55
mcomisiones_otras_delta_1,1163.8156571388245,37
saldo_total_lag_1,1161.4153542518616,56
slope_TC_Total_msaldototal_2_window,1158.022129535675,31
mrentabilidad_annual_lag_2,1152.2651352882385,66
slope_flujo_netotransf_2_window,1151.1767587661743,64
saldo_vs_movimientos_lag_1,1138.7667574882507,81
slope_mcaja_ahorro_3_window,1138.369444847107,72
Master_Fvencimiento_lag_1_1,1136.8081347942352,71
Master_mlimitecompra,1134.7773275375366,80
mttarjeta_visa_debitos_automaticos,1130.0780901908875,87
slope_cmobile_app_trx_2_window,1128.3473773002625,82
mcaja_ahorro_lag_1,1125.9293236732483,65
slope_TC_Total_fechaalta_2_window,1124.7343797683716,76
Visa_mfinanciacion_limite,1121.5999610424042,79
mrentabilidad_delta_1,1121.5380535125732,67
uso_digital_ratio_lag_2,1114.8715991973877,82
cliente_antiguedad_lag_1,1111.7497191429138,85
ccallcenter_transacciones,1110.2197256088257,24
slope_chomebanking_transacciones_2_window,1107.5857162475586,66
slope_rentabilidad_media_mensual_3_window,1106.179027557373,58
saldo_total_pesos_lag_1,1105.2812666893005,82
slope_TC_Total_Fvencimiento_2_window,1097.6932010650635,74
rentabilidad_media_mensual_lag_2,1086.9006855487823,92
slope_cprestamos_personales_3_window,1086.6207885742188,32
slope_ccaja_seguridad_3_window,1080.1011710166931,31
Visa_mlimitecompra,1075.87619972229,86
mcomisiones_otras_lag_2,1073.2414977550507,80
TC_Total_mfinanciacion_limite,1055.708680152893,69
Master_Fvencimiento_lag_1,1051.4565598964691,89
saldo_vs_movimientos_lag_2,1049.334506034851,77
margen_total_lag_2,1047.4462413787842,32
slope_Visa_fechaalta_3_window,1046.800036430359,77
cliente_antiguedad_lag_1_1,1046.4723529815674,80
mcaja_ahorro_dolares_delta_1,1045.8262646198273,53
Visa_mconsumospesos,1042.754362821579,86
Master_mpagominimo,1037.1631367206573,61
saldo_total_pesos_lag_1_1,1035.6257445812225,43
slope_saldo_vs_movimientos_3_window,1031.5987520217896,66
