trial_number,ganancia,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,num_boost_round,pos_bagging_fraction,neg_bagging_fraction
27,396800000.0,114,0.051573694954060265,78,0.3220490614894083,0.7331033389143271,1.4711900230259987,0.46546843400385574,686,0.47765853794204566,0.21033108588537763
28,384000000.0,99,0.007687614400260077,86,0.5625083219000995,0.5985081732910746,0.018872131193636496,1.446181514483386,639,0.2113341242270339,0.4000688738262168
29,398400000.0,149,0.02526585953391135,100,0.32842748397409643,0.4710240291767406,1.8813109493829925,0.0005844662680798418,816,0.47792927077130865,0.2641666977722225
30,386666666.6666667,124,0.0540264573784943,74,0.4293645341884831,0.3719161199170721,0.6490881084877247,1.1284542335994436,785,0.35105905138802945,0.16845346330933691
31,393866666.6666667,130,0.03850678623135294,47,0.5572683778327648,0.6110297760455696,1.1227487030058065,0.3400790702473049,890,0.4712434538849562,0.6021327269873236
32,392533333.3333333,104,0.013171962919824774,93,0.4092543213612875,0.7976493611983385,0.4035659868351501,2.0567025028201518,561,0.22908237179198263,0.34289139712113625
33,394400000.0,110,0.047083112029434535,61,0.2515405902483933,0.5864029435233038,0.1346059122041817,1.5612200037360824,667,0.6102132660690941,0.11013389796128639
34,396266666.6666667,83,0.03625908589773275,82,0.3475424596430266,0.6897930175718303,0.654248607535522,0.5762690048049339,759,0.6594936178298133,0.10465727005520241
35,396266666.6666667,92,0.04881150467993727,45,0.31869002856293865,0.5740959429512623,0.06069476269479868,1.099291996408998,653,0.5900718755065546,0.17560101208749693
36,396000000.0,120,0.062216305208748754,71,0.29128493465276206,0.6421674963114123,0.6507114712137604,1.9077331214490443,523,0.49927388860200367,0.25802145612200916
37,395200000.0,140,0.027991673952874295,55,0.382324475571375,0.5107788806215132,1.1925593555548402,1.4047030982912243,693,0.39931876973239394,0.1654109111950451
38,393600000.0,108,0.05490827964146096,80,0.45403609804741973,0.5078585510201497,1.8993238219207265,0.9153759809414918,972,0.6674455705534516,0.32507953221308716
39,399200000.0,137,0.02241203664758978,64,0.2952302328292273,0.6360593705153791,2.722392633579176,0.20086177317279708,629,0.7731833411854987,0.4416447558959792
40,395200000.0,134,0.015493183849667136,53,0.37558657878225404,0.7268014841452854,2.693443189649673,0.1580618565563333,619,0.8278142407130076,0.6324506416234331
41,394933333.3333333,141,0.022655744840216208,71,0.4660379388859633,0.6453658353950641,3.1434678408939187,0.6229838328241462,865,0.5557912809806131,0.4722642995680391
42,398133333.3333333,123,0.03616082632753959,87,0.2996172548715476,0.8066227399418439,2.115241397510372,0.25970214489768706,477,0.9411432582693238,0.43650587557752174
43,396800000.0,116,0.023060237659275826,63,0.27670129808088767,0.6146607659811838,2.5271684287825096,1.2750543150678577,594,0.7244664710717275,0.2476933038686106
44,399733333.3333333,98,0.04274973240720519,48,0.32234696112762673,0.5726261041443217,0.263990501035722,1.6423137886544117,633,0.5178598658169791,0.14870614582172537
45,396800000.0,95,0.027745961721380927,31,0.33928997391335874,0.5574578869845486,3.4236527982260103,0.6189830528542793,567,0.5100645940572279,0.3126302339844318
46,402133333.3333333,84,0.03518640034343286,47,0.31776519651631674,0.6714999873184199,0.2944267005943108,2.4490808003374225,778,0.40622347584093277,0.16338893024243595
47,391733333.3333333,82,0.03973848161297285,57,0.5296990317665442,0.6772413836732611,0.36362591971410946,2.5286414150763967,778,0.4303550958329636,0.15927460384105263
48,395200000.0,74,0.03554970047850042,48,0.40895120671363683,0.765448729502351,0.794954769479504,3.0000357367018147,704,0.35567290202327073,0.28029090328364586
49,381866666.6666667,69,0.057939670869542985,42,0.9427549607420439,0.5255102846090972,0.26090413063522505,3.1307630364374273,922,0.31052455763629916,0.19254696923228865
