feature,importance_gain,importance_split
ctrx_quarter_normalizado_delta_3,2086.6227493286133,146
Visa_fultimo_cierre,2081.4635095596313,193
mcaja_ahorro_dolares,2061.1562213897705,201
cpayroll_trx_delta_mean_8,2040.3732299804688,127
ctarjeta_visa_delta_2,2024.5643076896667,4
ccanales_activos,2022.0350439548492,93
slope_msaldo_total_pesos_6_window,2021.032921552658,182
chomebanking_transacciones_delta_mean_8,2014.8973808288574,195
cproductos_uso_ratio,2011.5092895030975,163
Visa_Finiciomora_delta_mean_4,2011.2913670539856,33
slope_msaldo_total_6_window,1986.1099717617035,172
mtransferencias_emitidas,1982.9046576023102,141
slope_TC_Total_mpagominimo_6_window,1980.2129418849945,153
slope_mingresos_por_producto_ratio_6_window,1971.6222729682922,117
cuso_tarjeta_ratio_delta_mean_4,1970.3049442768097,163
slope_Master_mfinanciacion_limite_6_window,1960.5694952011108,185
cuso_tarjeta_ratio_delta_3,1935.8750321865082,163
mextracciones_ratio,1932.7111065387726,178
slope_mttarjeta_visa_debitos_automaticos_6_window,1926.2380485534668,191
Master_madelantopesos,1914.86270570755,114
cactividad_total_delta_mean_8,1908.9850678443909,180
cdias_mora_promedio_delta_2,1879.8099093437195,49
cuso_tarjeta_ratio_delta_mean_8,1874.998253583908,185
slope_mmargen_por_producto_6_window,1872.6039652824402,194
mttarjeta_visa_debitos_automaticos,1871.141755104065,185
matm,1811.5100197792053,82
slope_mcuenta_debitos_automaticos_6_window,1781.9061160087585,174
slope_Visa_Finiciomora_6_window,1777.7163677215576,72
slope_Master_mconsumospesos_6_window,1757.4724297523499,135
cuso_digital_ratio_delta_3,1753.967666387558,191
Master_fultimo_cierre,1748.1041073799133,190
Visa_mconsumospesos,1747.5166056156158,184
Visa_cconsumos_delta_mean_4,1746.0037655830383,162
slope_mextraccion_autoservicio_6_window,1740.7220301628113,160
slope_Visa_mlimitecompra_6_window,1740.6340153217316,174
cpagomiscuentas_delta_mean_8,1722.955973625183,144
slope_TC_Total_mconsumospesos_6_window,1711.3605194091797,145
Visa_fultimo_cierre_delta_mean_8,1710.6358671188354,103
cproductos_delta_3,1691.0269446372986,42
slope_Visa_msaldopesos_6_window,1677.0509839057922,133
slope_mpasivos_margen_6_window,1666.805408000946,174
slope_mcajeros_propios_descuentos_6_window,1665.5381724834442,135
chomebanking_transacciones_delta_mean_4,1662.931842327118,170
slope_Visa_mconsumosdolares_6_window,1660.607922554016,176
ctarjeta_debito_delta_mean_8,1652.211077928543,147
ctransferencias_recibidas_delta_mean_8,1651.8676674365997,168
slope_Master_msaldototal_6_window,1650.2787959575653,136
Visa_cconsumos,1646.5825772285461,178
slope_mextracciones_ratio_6_window,1639.6226630210876,165
ccallcenter_transacciones_delta_2,1623.9382765293121,88
TC_Total_cconsumos_delta_3,1621.5788481235504,138
cproductos_uso_ratio_delta_2,1620.6508483886719,183
slope_Visa_mpagado_6_window,1620.0508637428284,161
Visa_Fvencimiento_delta_mean_8,1615.724044561386,126
slope_mpagomiscuentas_6_window,1601.169657945633,164
cproductos_uso_ratio_delta_3,1599.5289602279663,177
mcuenta_corriente_adicional,1598.797977924347,98
cuso_digital_ratio_delta_mean_4,1597.828593492508,178
mlimite_tarjetas_total,1583.1536481380463,167
chomebanking_transacciones_delta_2,1580.281845331192,163
ctarjeta_debito_transacciones_delta_mean_8,1578.1192388534546,163
slope_Master_mlimitecompra_6_window,1573.5109903812408,171
slope_Master_madelantopesos_6_window,1570.1748049259186,112
