feature,importance_gain,importance_split
cmobile_app_trx_delta_3,1755.9650672525167,494
slope_Visa_mpagominimo_3_window,1754.8644388318062,363
mtarjeta_master_consumo,1750.3155465722084,102
ctarjeta_visa_transacciones_delta_2,1745.2571974992752,382
ctarjeta_debito_transacciones_delta_3,1744.1778877973557,399
cmobile_app_trx_delta_4,1737.0678623616695,507
slope_Visa_mpagominimo_2_window,1726.1393427848816,352
slope_mmargen_total_3_window,1721.1987003684044,420
ctarjeta_debito_transacciones_delta_2,1716.2409364879131,408
slope_matm_other_6_window,1677.8152385056019,355
slope_muso_credito_ratio_2_window,1675.3422800600529,326
slope_mtransferencias_emitidas_3_window,1669.32881462574,371
ccanales_activos_delta_3,1637.7807354927063,305
Visa_mlimitecompra,1636.2218372821808,369
slope_Visa_msaldopesos_2_window,1631.6970170140266,296
slope_Master_mconsumototal_12_window,1630.3870065510273,341
ctransferencias_recibidas_delta_2,1618.4340024888515,435
slope_mpasivos_margen_3_window,1614.2227441966534,425
slope_mmargen_total_2_window,1607.1673483848572,352
mtransferencias_emitidas,1588.724981635809,301
slope_mcomisiones_otras_2_window,1573.4462864995003,356
Master_mlimitecompra,1550.3323247134686,326
slope_mcomisiones_2_window,1547.7253692150116,395
slope_msaldo_total_dolares_3_window,1541.1856159567833,340
slope_mcaja_ahorro_dolares_3_window,1538.9706733822823,370
slope_Visa_mconsumosdolares_3_window,1537.3086194694042,338
slope_mingresos_vs_saldo_ratio_6_window,1537.1770292520523,220
slope_mautoservicio_3_window,1536.2146473824978,363
slope_mttarjeta_visa_debitos_automaticos_2_window,1526.4161177873611,323
ctransferencias_recibidas_delta_3,1519.6600876748562,445
slope_mpagomiscuentas_2_window,1514.385173946619,256
slope_mcomisiones_3_window,1506.1560061573982,415
slope_mtarjeta_visa_consumo_12_window,1498.3714752197266,333
TC_Total_mpagospesos,1492.7139681577682,240
mextraccion_autoservicio,1483.505129814148,146
slope_mpayroll_12_window,1475.6049608886242,238
cmobile_app_trx_delta_2,1470.7606727480888,442
slope_mlimite_tarjetas_total_2_window,1469.011277794838,298
slope_mautoservicio_2_window,1463.9349012672901,280
slope_mextracciones_ratio_2_window,1458.3299048542976,358
ctransferencias_emitidas_delta_3,1454.534645229578,305
ctarjeta_visa_debitos_automaticos_delta_4,1450.2157417535782,312
slope_mmargen_por_cuenta_ratio_6_window,1449.1730881035328,357
slope_Visa_mpagado_3_window,1444.4264437556267,357
slope_mextracciones_ratio_3_window,1444.037839859724,358
slope_mmargen_por_cuenta_ratio_2_window,1432.357871890068,288
cdescubierto_preacordado_delta_4,1416.5835862457752,61
slope_Master_mpagominimo_6_window,1413.857485383749,248
slope_mdeuda_tarjetas_total_2_window,1410.05284217,216
slope_mingresos_por_producto_ratio_6_window,1405.9418777823448,137
slope_Visa_msaldopesos_3_window,1398.1773866564035,314
slope_mprestamos_personales_3_window,1388.1665950417519,286
slope_Visa_msaldototal_12_window,1388.1649283468723,319
slope_mtransferencias_emitidas_2_window,1387.1843112707138,320
Master_mpagominimo,1367.4537373185158,165
thomebanking,1365.1926118135452,108
ctarjeta_debito_transacciones,1363.9351933896542,253
slope_Visa_mlimitecompra_3_window,1351.9708957076073,324
mplazo_fijo_dolares,1342.7793386876583,104
ctransferencias_recibidas,1342.265760153532,311
Visa_msaldototal,1331.8560056686401,167
ccallcenter_transacciones_delta_4,1327.9130072295666,340
cpagomiscuentas_delta_4,1313.5227790176868,280
slope_Master_msaldototal_12_window,1311.713292390108,256
TC_Total_mconsumospesos,1308.3268334269524,225
ctarjeta_visa_debitos_automaticos,1304.8444254398346,260
slope_Master_msaldopesos_6_window,1300.5426834523678,264
slope_mcuenta_debitos_automaticos_2_window,1296.0612224638462,343
