feature,importance_gain,importance_split
slope_ctarjeta_visa_debitos_automaticos_2_window,403.47117805480957,43
slope_uso_tarjeta_ratio_3_window,402.4657325744629,33
Visa_mpagominimo_lag_1,400.9175090789795,47
slope_tcallcenter_3_window,400.0688223838806,32
ctrx_90d,395.610657453537,37
ccuenta_debitos_automaticos,394.57585167884827,19
actividad_total_lag_1,393.82107424736023,40
slope_chomebanking_transacciones_3_window,393.73968958854675,50
mactivos_margen_lag_2,393.1560790538788,43
slope_mtransferencias_emitidas_2_window,392.21664237976074,46
slope_ccallcenter_transacciones_3_window,388.6395115852356,34
mcomisiones_delta_1,386.8840706348419,57
mpasivos_margen_lag_2,385.4331216812134,49
Visa_fechaalta_lag_2,384.8298316001892,46
slope_Master_mfinanciacion_limite_2_window,384.5975078344345,45
slope_TC_Total_mpagominimo_3_window,382.74234342575073,22
Visa_mconsumospesos_lag_1,382.24172711372375,44
ccomisiones_otras_lag_1,381.8037986755371,41
mcaja_ahorro_dolares_lag_1,381.03193962574005,43
Master_msaldopesos,380.0087296962738,37
cliente_antiguedad_lag_2,377.5225405693054,47
slope_mrentabilidad_annual_2_window,373.71903920173645,47
slope_mcuenta_debitos_automaticos_3_window,372.6315608024597,30
chomebanking_transacciones_delta_2,371.94480180740356,43
TC_Total_Fvencimiento_lag_2,371.3731873035431,45
mtransferencias_recibidas_delta_2,370.67779994010925,47
ctarjeta_visa_transacciones_delta_1,367.8959791660309,41
ctransferencias_recibidas,367.1341187953949,44
slope_mttarjeta_visa_debitos_automaticos_2_window,364.38620042800903,30
uso_tarjeta_ratio_lag_1,361.4526176452637,38
slope_Master_Fvencimiento_3_window,359.0771515369415,29
actividad_total_delta_2,357.0982189178467,46
Master_mlimitecompra,356.49193954467773,38
slope_actividad_total_3_window,354.7900116443634,39
chomebanking_transacciones_delta_1,350.3679623603821,37
slope_Visa_mconsumospesos_3_window,346.68870997428894,39
TC_Total_mconsumospesos,346.03044033050537,36
Visa_mfinanciacion_limite_lag_1,345.23290181159973,32
actividad_total_delta_1,344.18668937683105,49
Master_Fvencimiento_lag_2,342.70141983032227,41
uso_tarjeta_ratio_delta_1,339.9984097480774,42
slope_thomebanking_3_window,338.35041189193726,24
slope_mtransferencias_emitidas_3_window,337.5335006713867,37
Visa_mconsumospesos_delta_1,336.11485862731934,45
mtransferencias_recibidas_delta_1,335.58406615257263,46
TC_Total_fechaalta_lag_1,334.23638820648193,41
chomebanking_transacciones_lag_2,328.89977955818176,30
slope_ccuenta_debitos_automaticos_3_window,328.64323139190674,37
TC_Total_mfinanciacion_limite_lag_1,325.83483934402466,34
mtransferencias_emitidas_delta_1,325.42530131340027,43
ccajas_consultas,325.2567889690399,29
slope_cliente_antiguedad_3_window,324.61788272857666,38
Visa_mfinanciacion_limite_delta_1,322.7174597978592,44
ctrx_60d,322.6271901130676,42
mpayroll_lag_1,320.584023475647,30
mcaja_ahorro_lag_2,318.6172204017639,35
ctarjeta_debito_transacciones,314.8310502767563,39
mtarjeta_visa_consumo_delta_1,314.60061144828796,42
mcomisiones_otras_lag_2,309.43172907829285,42
uso_digital_ratio_lag_2,307.8069978952408,43
Master_mconsumospesos,306.0245108604431,36
ccajas_transacciones,305.8182466030121,16
mttarjeta_visa_debitos_automaticos_delta_2,304.74289202690125,34
slope_active_quarter_3_window,303.51313972473145,16
mttarjeta_visa_debitos_automaticos_delta_1,303.3678183555603,45
slope_mttarjeta_visa_debitos_automaticos_3_window,302.1890468597412,30
Visa_mpagado,302.01509034633636,31
mttarjeta_visa_debitos_automaticos_lag_1,301.82635021209717,30
Visa_mpagospesos_lag_2,299.9039011001587,40
Visa_mpagominimo_delta_2,297.9115717411041,34
mcaja_ahorro_delta_2,295.9765510559082,40
chomebanking_transacciones_lag_1,295.34008955955505,33
slope_ctarjeta_visa_debitos_automaticos_3_window,295.1110713481903,29
slope_Master_fechaalta_3_window,294.77289748191833,34
Visa_mpagospesos_delta_2,290.1809890270233,39
mautoservicio_lag_1,288.7550084590912,30
cplazo_fijo,287.4756226539612,22
TC_Total_mlimitecompra,286.28222942352295,26
TC_Total_mpagospesos_delta_2,285.7932288646698,34
slope_Master_mlimitecompra_3_window,285.3399839401245,15
ccomisiones_otras_lag_2,285.10356998443604,30
mtransferencias_emitidas_lag_1,284.49944150447845,28
slope_cprestamos_personales_2_window,284.18438506126404,19
Visa_mpagospesos_lag_1,284.06797885894775,37
slope_mcomisiones_2_window,283.5251123905182,31
slope_ccajas_transacciones_3_window,282.58419013023376,31
slope_ccajas_otras_3_window,282.4028494358063,25
slope_cpagomiscuentas_3_window,281.2515296936035,32
Visa_cconsumos_delta_1,279.9711401462555,36
ctrx_60d_delta_1,279.30440187454224,28
mttarjeta_visa_debitos_automaticos_lag_2,278.438330411911,29
slope_actividad_total_2_window,276.05192971229553,29
slope_cextraccion_autoservicio_3_window,273.4155168533325,30
slope_mcuenta_debitos_automaticos_2_window,273.0037498474121,28
mcomisiones_lag_1,272.67616057395935,35
slope_Master_fechaalta_2_window,267.4480800628662,29
TC_Total_cconsumos_lag_1,267.23998832702637,20
slope_Visa_mpagominimo_2_window,266.508829832077,32
slope_mcomisiones_3_window,266.31183898448944,37
TC_Total_mpagominimo_delta_2,264.7540899515152,29
slope_mcomisiones_otras_2_window,262.60774064064026,31
slope_Visa_mpagospesos_2_window,262.59426951408386,32
mautoservicio_delta_1,262.43977081775665,35
slope_mautoservicio_2_window,261.75411009788513,31
slope_mpagomiscuentas_2_window,261.0873463153839,27
tcuentas,260.9759123325348,16
slope_Visa_fultimo_cierre_2_window,258.46201252937317,28
slope_ctrx_90d_2_window,258.31414127349854,28
TC_Total_msaldototal_lag_1,258.13493299484253,10
Visa_mlimitecompra,256.9634909629822,28
Master_fechaalta_lag_1,256.7391917705536,30
Visa_msaldopesos_delta_1,255.89092135429382,29
slope_Visa_fechaalta_3_window,255.76182985305786,28
slope_usa_app_o_homebanking_3_window,254.61074995994568,25
slope_ctrx_quarter_3_window,254.56507921218872,25
slope_ccuenta_debitos_automaticos_2_window,254.20416235923767,23
slope_Master_fultimo_cierre_3_window,252.19540905952454,31
Visa_mfinanciacion_limite_delta_2,251.389630317688,33
slope_cproductos_3_window,249.59131860733032,27
slope_mautoservicio_3_window,249.53043031692505,32
slope_Visa_mfinanciacion_limite_3_window,249.30584073066711,27
TC_Total_mpagominimo_delta_1,249.1244319677353,30
mcomisiones_otras_delta_1,248.26319932937622,33
mprestamos_prendarios,248.07709002494812,23
TC_Total_msaldototal_delta_1,247.68472123146057,29
slope_mcaja_ahorro_dolares_2_window,245.1730501651764,35
slope_TC_Total_mconsumospesos_2_window,245.04541015625,27
Master_fechaalta_lag_2,244.3999412059784,26
slope_mpayroll_3_window,244.21702337265015,15
mcomisiones_otras_delta_2,243.1773509979248,23
Master_msaldototal,239.70065879821777,22
Master_mlimitecompra_delta_2,239.2886507511139,30
TC_Total_mpagominimo_lag_2,239.08246040344238,21
mcaja_ahorro_dolares_delta_2,238.63096976280212,31
slope_ctrx_quarter_2_window,238.62065958976746,32
slope_Visa_mpagospesos_3_window,238.49688720703125,29
slope_TC_Total_msaldototal_2_window,237.85959005355835,24
mplazo_fijo_dolares_delta_1,236.39020228385925,22
slope_TC_Total_cconsumos_2_window,233.18345165252686,24
TC_Total_cconsumos,233.00233030319214,30
TC_Total_cconsumos_delta_1,232.62641048431396,30
slope_Visa_mfinanciacion_limite_2_window,231.65554881095886,29
mcuenta_debitos_automaticos_lag_1,231.56349802017212,30
TC_Total_mpagospesos_lag_1,229.98116040229797,23
slope_Master_mpagospesos_3_window,229.5826895236969,23
mpagomiscuentas_delta_2,226.72485160827637,27
mpagomiscuentas_delta_1,226.14277839660645,30
Visa_cconsumos_lag_2,224.79001188278198,26
uso_tarjeta_ratio_lag_2,223.9898407459259,24
slope_ctarjeta_debito_transacciones_2_window,222.9669895172119,31
slope_mcomisiones_otras_3_window,222.3352677822113,19
Visa_mlimitecompra_delta_1,220.23399090766907,24
slope_TC_Total_msaldopesos_2_window,219.09974026679993,16
slope_Visa_mconsumosdolares_3_window,218.3102400302887,26
slope_Visa_msaldototal_2_window,217.2694489955902,15
Visa_msaldototal_lag_1,215.74564957618713,13
ctrx_90d_delta_1,215.09295845031738,28
slope_Master_mconsumospesos_2_window,214.37333798408508,21
slope_Master_msaldopesos_3_window,214.26227700710297,24
