feature,importance_gain,importance_split
slope_mlimite_tarjetas_total_12_window,1558.9301300048828,559
Visa_cconsumos_delta_4,1557.947626978159,588
slope_mrentabilidad_3_window,1553.736739307642,575
slope_mcomisiones_mantenimiento_2_window,1551.3174605816603,524
slope_Visa_mpagominimo_6_window,1550.9860736057162,570
ccomisiones_mantenimiento,1548.5240721404552,102
Visa_mconsumospesos,1541.2878259718418,563
Visa_status,1534.5875486806035,107
slope_matm_other_12_window,1529.7583867758512,594
slope_mttarjeta_visa_debitos_automaticos_6_window,1525.6069735139608,442
Visa_mpagospesos,1521.6946172267199,631
slope_mpasivos_margen_3_window,1517.2688307464123,538
slope_mmargen_por_producto_6_window,1504.3250797390938,641
slope_msaldo_total_2_window,1499.4579858779907,599
cproductos_uso_ratio,1490.6627958863974,564
slope_mmargen_total_6_window,1487.381246238947,598
cactividad_total,1484.4431159198284,571
mpagomiscuentas,1480.0497441068292,256
slope_mmargen_total_3_window,1474.2833578437567,590
ccanales_activos_delta_3,1452.8098641783,391
ccaja_ahorro,1432.6053370833397,201
slope_mlimite_tarjetas_total_6_window,1429.6363425254822,532
Visa_msaldopesos,1418.5732049494982,433
chomebanking_transacciones,1414.1653884351254,518
mingresos_por_producto_ratio,1409.1247081160545,102
slope_mmargen_por_producto_3_window,1395.6199121922255,535
cactividad_total_delta_3,1393.5721957087517,674
cactividad_total_delta_2,1391.1977569162846,694
slope_mextracciones_ratio_6_window,1389.7559974640608,581
slope_Visa_mconsumospesos_3_window,1379.4099381417036,496
TC_Total_fultimo_cierre,1373.9922788143158,531
slope_Visa_mconsumototal_12_window,1357.7440175563097,517
slope_Master_mpagominimo_12_window,1348.7523100674152,436
slope_Visa_mconsumospesos_2_window,1342.260522827506,506
slope_Master_mlimitecompra_12_window,1338.308544099331,476
slope_mforex_sell_12_window,1331.8763183802366,544
slope_mcaja_ahorro_3_window,1327.872214794159,417
cmobile_app_trx_delta_4,1324.6857445836067,582
slope_Master_msaldopesos_12_window,1321.737184330821,457
ccanales_activos_delta_2,1321.5338512510061,339
ctarjeta_visa_transacciones_delta_3,1317.2289959266782,488
slope_mingresos_vs_saldo_ratio_12_window,1300.796266630292,420
slope_Visa_mpagosdolares_12_window,1296.9162225574255,476
Visa_cconsumos_delta_2,1293.0846659764647,571
slope_Visa_mconsumosdolares_6_window,1285.7431924790144,507
slope_msaldo_total_dolares_12_window,1270.4522203803062,533
slope_Visa_mpagominimo_3_window,1265.0674640983343,428
slope_Visa_mlimitecompra_12_window,1260.6695842891932,496
slope_mmargen_total_2_window,1256.7477669864893,438
slope_mmargen_por_producto_2_window,1251.1132809072733,514
slope_mlimite_tarjetas_total_3_window,1250.143121138215,310
mmargen_por_cuenta_ratio,1247.8853098154068,327
slope_Visa_mlimitecompra_6_window,1242.3165237903595,437
slope_muso_credito_ratio_3_window,1239.3559868633747,300
slope_mcaja_ahorro_2_window,1229.1924737393856,413
slope_mcuenta_debitos_automaticos_6_window,1215.6837698221207,440
slope_mtransferencias_recibidas_3_window,1213.2707151472569,436
slope_mdeuda_tarjetas_total_3_window,1212.3857896775007,219
slope_Visa_mpagospesos_3_window,1202.3820388764143,447
msaldo_total_dolares,1199.8772657960653,403
slope_mautoservicio_6_window,1196.09003020823,469
cmobile_app_trx,1182.2939070165157,319
slope_msaldo_total_pesos_2_window,1169.8206746280193,507
mcomisiones_otras,1161.0481248795986,471
ccanales_activos_delta_4,1161.0249080210924,377
Visa_cconsumos_delta_3,1160.1896429806948,503
TC_Total_mfinanciacion_limite,1160.016104400158,429
slope_Visa_mpagospesos_2_window,1154.358702659607,474
slope_mtarjeta_visa_consumo_12_window,1151.0600823312998,335
